Código Interno,Título ,Subtítulo,Autor/Org./Coordenador,ISBN,Tradução,Coleção,Edição,Volume,Classificação,Local de Publicação,Editora,Data,Número de Páginas,Exemplar
230.54,A dignidade e a vocação da mulher,"Carta Apostólica de João Paulo II ""Mulieris Dignitatem""",João Paulo II,,,A voz do Papa,1,118,"Teologia doutrina cristã, dogma",São Paulo,Paulinas,1988,115,1
230.55,Sobre o empenho ecumênico,"Carta Encíclica ""Ut Unum Sint"" do Santo Padre João Paulo II",João Paulo II,,,A voz do Papa,1,142,"Teologia doutrina cristã, dogma",São Paulo,Paulinas,1995,114,1
230.56,Sobre a Eucaristia na sua relação com a igreja,"Carta Encíclica ""Ecclesia de Eucharistia"" do Sumo Pontífice João Paulo II aos bispos, aos presbíteros e diáconos, às pessoas consagradas e a todos os fiéis leigos",João Paulo II,,,A voz do Papa,7,185,"Teologia doutrina cristã, dogma",São Paulo,Paulinas,2003,86,1
230.57,Para o ano da Eucaristia,"Carta Apostólica ""Mane Nobiscum Domine"" do Sumo Pontífice João Paulo II ao episcopado, ao clero e aos fiéis",João Paulo II,,,A voz do Papa,2,187,"Teologia doutrina cristã, dogma",São Paulo,Paulinas,2005,46,1
230.58,"Misericordiae Vultus, O rosto da misericórdia",Bula de proclamação do jubileu extraordinário da misericórida,Papa Francisco,,,A voz do Papa,1,200,"Teologia doutrina cristã, dogma",São Paulo,Paulinas,2015,40,1
230.59,Igreja e política,subsídios teológicos,Conferência Nacional dos Bispos do Brasil,,,Estudos da Cnbb,11,2,"Teologia doutrina cristã, dogma",São Paulo,Paulinas,1974,54,1
230.60,Teologia dogmática,primeiro tratado a Trindade de Deus; segundo tratado Deus Criador,"Frei Ovídio Zanini, O.F.M.Cap.",,,,1,1,"Teologia doutrina cristã, dogma",Ponta Grossa,Centro de Teologia e Filosofia,1976,113,1
230.61,Teologia dogmática,terceiro tratado Deus Redentor; quarto tratado A Virgem Maria,"Frei Ovídio Zanini, O.F.M.Cap.",,,,1,2,"Teologia doutrina cristã, dogma",Ponta Grossa,Centro de Teologia e Filosofia,s.d.,92,1
230.62,Teologia dogmática,quinto tratato Eclesiologia; sexto tratado A Graça Divivina,"Frei Ovídio Zanini, O.F.M.Cap.",,,,1,3,"Teologia doutrina cristã, dogma",Ponta Grossa,Centro de Teologia e Filosofia,1977,123,1
230.63,Primeiro Catecismo da Doutrina Cristã,ofício da Imaculada Conceição da Virgem Maria,"Frei Carmelo Surian, O.F.M.",,,,126,,"Teologia doutrina cristã, dogma",Petrópolis,Vozes,1984,138,1
230.64,Compêndio do Vaticano II,"constituições, decretos, declarações","Frei Boaventura Koppenburg, O.F.M.; Frei Frederico Vier, O.F.M",,,,10,,"Teologia doutrina cristã, dogma",Petrópolis,Vozes,1968,743,1
230.65,Curso elementar de catequese,elementos metodológicos e didácticos,Departamento de Pastoral e Catequese da Universidade de Navarra,,Abílio Cardoso,,1,1,"Teologia doutrina cristã, dogma",Lisboa,CAS,1977,302,1
230.66,Curso elementar de catequese,elementos metodológicos e didácticos,Departamento de Pastoral e Catequese da Universidade de Navarra,,Abílio Cardoso,,1,2,"Teologia doutrina cristã, dogma",Lisboa,CAS,1977,255,1
230.67,Pai Nosso!,uma reflexão teológica e pastoral sobre Deus Pai,Mauri L. Heerdt; Paulo De Coppi,,,,2,,"Teologia doutrina cristã, dogma",São Paulo,Mundo e Missão,2003,176,1
230.68,Puebla ao alcance de todos,,Pe. Luiz Cechinato,,,,2,,"Teologia doutrina cristã, dogma",Petrópolis,Vozes,1981,159,1
230.69,"A quem iremos, Senhor?",explicação do credo para adultos,Pe. Luiz Cechinato,,,,6,,"Teologia doutrina cristã, dogma",Petrópolis,Vozes,1987,230,1
230.70,O caminho,síntese da doutrina cristã,Província Eclesiástica de Alagoas,,,,14,,"Teologia doutrina cristã, dogma",São Paulo,Loyola,1995,442,1
230.71,Seguir o mestre ,batismo e/ou confirmação e eucaristia de adultos,Antônio Francisco Blankendaal,,,Água e Espírito,1,1,"Teologia doutrina cristã, dogma",São Paulo,Paulinas,2007,140,1
230.72,Documento de Aparecida,texto conclusivo da V Conferência Geral do Episcopado Latino-Americano e do Caribe 13-31 de maio de 2007,Conselho Episcopal Latino-Americano,,Luiz Alexandre Solano Rossi,,5,,"Teologia doutrina cristã, dogma",Brasília; São Paulo,"CNBB, Paulinas, Paulus",2008,311,1
230.73,Alicerce para um mundo novo,a fé explicada aos jovens,"José Fernandes de Oliveira (Pe. Zezinho, SCJ)",,,,6,,"Teologia doutrina cristã, dogma",São Paulo,Paulinas,1977,378,1
230.74,O jeito de Maria de Nazaré,,"Pe. José Ribolla, C.SS.R.",,,,1,,"Teologia doutrina cristã, dogma",Aparecida,Santuário,1991,150,1
230.75,O jeito de Jesus de Nazaré,,"Pe. José Ribolla, C.SS.R.",,,,6,,"Teologia doutrina cristã, dogma",Aparecida,Santuário,1991,175,1
230.76,ABC da Bíblia,,Pe. Alberto Antoniazzi; Inês Broshuis; Rosana Pulga et al.,,,,30,,"Teologia doutrina cristã, dogma",São Paulo,Paulus,1982,32,1
230.77,Deus é amor,Carta Encíclica Deus Caritas Est,Bento XVI,,,Documentos do Magistério,1,,"Teologia doutrina cristã, dogma",São Paulo,Paulus; Loyola,2006,52,1; 2
230.78,"Evangelii Gaudium, A alegria do Evangelho ","sobre o anúncio do Evangelho no mundo atual, Exortação Apostólica",Francisco,,,Documento do Magistério,1,2,"Teologia doutrina cristã, dogma",São Paulo,Paulus; Loyola,2014,165,1
230.79,Luadato Si' Louvado sejas,"sobre o cuidado da casa comum, Carta Encíclica do Sumo Pontífice",Francisco,,,Documentos do Magistério,1,,"Teologia doutrina cristã, dogma",São Paulo,Paulus e Loyola,2015,142,1
230.80,Compêndio do Catecismo da Igreja Católica,,,,Orlando Moreira; Marcelo Perine,,1,,"Teologia doutrina cristã, dogma",São Paulo,Loyola,2005,207,1
230.81,Segundo Catecismo da Doutrina Cristã,,"Dom Manuel Pedro da Cunha Cintra; Frei Hugo D. Baggio, O.F.M",,,,108,,"Teologia doutrina cristã, dogma",Petrópolis,Vozes,1999,128,1
230.82,Perscrutai,aos consagrados e às consagradas a caminho nos sinais de Deus,Congregação para Institutos de vida consagrada e as sociedades de vida apostólica,,Jaime A. Clasen,Ano da vida consagrada,1,,"Teologia doutrina cristã, dogma",São Paulo,Paulinas,2014,83,1
230.83,Catecismo da Bíblia,,D. Paulo Lopes de Faria,,,,8,,"Teologia doutrina cristã, dogma",São Paulo,Paulinas,1985,31,1
230.84,Catecismo da Missa,,Padre Cristovam Iubem,,,,1,,"Teologia doutrina cristã, dogma",Guarapuava,Pão & Vinho,2011,105,1
230.85,Manual dos Ministros Extraordinários da Comunhão Eucarística,,Arquidiocese de Curitiba,,,,2,,"Teologia doutrina cristã, dogma",Curitiba,IdealGraf,1999,225,1
230.86,Manual dos Ministros Extraordinários da Comunhão e da Esperança,,Diocese de Ponta Grossa,,,,1,,"Teologia doutrina cristã, dogma",Ponta Grossa,,1995,110,1
230.87,Vida do glorioso patriarca São José,,Maria Cecilia Baiy,,missionário capuchinho,,2,,"Teologia doutrina cristã, dogma",Petrópolis,Vozes,1937,127,1
230.88,O banquete do cordeiro,a missa segundo um convertido,Scott Hahn,,Barbara Theoto Lambert,,1,,"Teologia doutrina cristã, dogma",São Paulo,Cléofas e Loyola Jesuítas,2014,161,
230.89,O Evangelho de Jesus,,,,Monsenhor Enrico Galbiati,,1,,"Teologia doutrina cristã, dogma",São Paulo,MIMEP,1968,318,
230.90,Vocação e missão dos leigos na igreja e no mundo vinte anos depois do Concílio Vaticano II,Lineamenta,Sínodo dos Bispos,,,,1,,"Teologia doutrina cristã, dogma",São Paulo,Paulinas,1985,79,1
230.91,O Calvário e a missa,,Monsenhor Fulton J. Sheen,,Pe. Leal Furtado,,4,,"Teologia doutrina cristã, dogma",Petrópolis,Vozes,1960,78,1
230.92,Os Santos do calendário romano,rezar com os santos na liturgia,Enzo Lodi,,Benôni Lemos; Patrícia G. E. Collina Bastianetto,,2,,"Teologia doutrina cristã, dogma",São Paulo,Paulus,1992,664,1
230.93,A igreja do Deus Vivo,"coluna e fundamento da verdade, curso bíblico popular sobre a verdadeira igreja",Fr. Battistini,,,,4,,"Teologia doutrina cristã, dogma",Rio de Janeiro,Magé,1983,143,1
240.1,Oração diária do casal,,Jaime e Cecília Boing,,,,1,,Moral e prática religiosa,Florianópolis,Missão jovem,s.d,63,1
240.2,Manual do Movimento de Capelinhas,tudo a Jesus por Maria,Geraldo M. Pellanda,,,,1,,Moral e prática religiosa,Ponta Grossa ,Imprimatur,1973,22,1
240.3,Medjugorje Novo Santuário,,s/a,,,,,,Moral e prática religiosa,,,s.d,,1
240.4,Comunicar,,s/a,,,,,,Moral e prática religiosa,,,s.d,58,1
240.5,O reino entre nós,,Movimento de Evangelização da Diocese de Caratinga,,,,2,,Moral e prática religiosa,Belo Horizonte,O Lutador,1974,93,1
240.6,Libertação Páscoa,roteiro catequético 1o grau-5a série,Equipe Diocesana de Catequese,,,,1,,Moral e prática religiosa,Santo Maria,Rainha,1976,132,1
240.7,Parada para pensar,,Pe. Roque Scheider S.J.,,,,8,,Moral e prática religiosa,São Paulo,Paulinas,1984,60,1
240.8,Receitas de felicidade,,Pe. Roque Schneider,,,,7,,Moral e prática religiosa,São Paulo,Paulinas,1983,92,1
240.9,Caminhos da vida,,Almir Ribeiro Guimarães,,,Encontro,1,,Moral e prática religiosa,Petrópolis,Vozes,1972,47,1
240.10,Eu quero ver,,Almir Ribeiro Guimarães,,,Encontro,2,8,Moral e prática religiosa,Petrópolis,Vozes,1973,46,1
240.11,"Felicidade, onde moras?",,Pe. Roque Schneider,,,Encontro,10,,Moral e prática religiosa,Petrópolis,Vozes,1982,50,1
240.12,"Felicidade, onde moras?",,Pe. Roque Schneider,,,Encontro,11,,Moral e prática religiosa,Petrópolis,Vozes,1984,50,1
240.13,Ofício Divino da Juventude,,Bispo Eugênio Rixen,,,,5,,Moral e prática religiosa,Goiania,Casa da Juventude,2012,185,1;
240.13,Ofício Divino da Juventude,,Bispo Eugênio Rixen,,,,5,,Moral e prática religiosa,Goiania,Casa da Juventude,2012,185,2
240.14,O segredo é cultivar(-se),,Carlos Afonso Schmitt,,,Coração a Coração,4,,Moral e prática religiosa,São Paulo,Paulinas,1984,133,1
240.15,Inquietude,em busca de um caminho,Miguel Lucas,,,,2,,Moral e prática religiosa,São Paulo,Paulinas,1983,62,1
240.16,Rosário em família,com Maria contemplando o rosto de Jesus,"Helena Corazza, F.S.P.",,,,1,,Moral e prática religiosa,São Paulo,Paulinas,2002,63,1
240.17,Louvemos o Senhor,,Associação do Senhor Jesus,,,,,98,Moral e prática religiosa,Campinas,Associação,1998,144,1
240.18,Não estou só,,Lúcia Jordão Villela,,,Fonte de Vida,5,1,Moral e prática religiosa,,,s.d,32,1
240.19,Moral,a arte de viver,Juan Luis Lorda,,Roberto Vidal da Silva,,1,,Moral e prática religiosa,São Paulo,Quadrante,2001,236,1
240.20,Jesus Cirsto dá seu recado,,N. Maccari,,,,1,,Moral e prática religiosa,Porto Alegre,Paulinas,s.d,30,1
240.21,Mãe ,mulher-comuicação,Dirce Carvalho F.S.P.,,,,1,,Moral e prática religiosa,Porto Alegre,Paulinas,1982,s.p.,1
240.22,"Aos atletas do espírito, que disputam no ""Estádio"" em busca de um troféu incorruptível!",,Frei Eurico,,,,1,,Moral e prática religiosa,,,s.d,s.p.,1
240.23,Orações do dia-a-dia,,Maria Cecília de M. Duprat,,,,1,,Moral e prática religiosa,São Paulo,Paulinas,1982,62,1
240.24,Novena Perpétua de Nossa Senhora Aparecida,,,,,,1,,Moral e prática religiosa,Aparecida-SP,Santuário,s.d,32,1
240.25,Livro do Perdão,,Raissa Castro Oliveira (org.),,,,1,,Moral e prática religiosa,Campinas,Raboni,1997,98,1
240.26,Peregrinando com Cristo,,Movimento de Cursilhos de Cristandade do Brasil,,,,1,,Moral e prática religiosa,São Paulo,Loyola,1997,110,1
240.27,Pequeno Devocionário Antoniano,editado por ocasição da visita das veneráveis relíquias de Santo Antônio ao Brasil,Frei Diogo L. Fuitem; Frei João Mamede Filho (coords.),,,,1,,Moral e prática religiosa,,,1999,45,1
240.28,Terço na mão e fé no coração!,,Sônia Venâncio,,,,4,,Moral e prática religiosa,São Paulo,Canção Nova,2011,102,1
240.29,Terço das dores,,,,,,1,,Moral e prática religiosa,Curitiba,Elma,s.d,11,1
240.30,Jesus o Pão da Vida.,quem comer este pão viverá eternamente,Nilse A. Czekalski,,,,1,,Moral e prática religiosa,,,s.d,43,1
240.31,Guia do Cursilhista,São Paulo Apóstolo,Movimento de Cursilhos de Cristandade do Brasil,,,,1,,Moral e prática religiosa,União da Vitória,,s.d,27,1
240.32,Orações do meu dia-a-dia,,João S. Clá Dias (org.),,,,13,,Moral e prática religiosa,São Paulo,Takano,2004,94,1
240.33,Ordinário da Missa,aprovado pela Assembleéia Geral da C.N.B.B.,Frei Carmelo Surian (org),,,,1,,Moral e prática religiosa,Petrópolis,Vozes,1966,64,1
240.34,Ordinário da Missa,aprovado pelo Santo Padre Paulo VI,Secretariado Nacional de Liturgia da CNBB,,,,3,,Moral e prática religiosa,Petrópolis,Vozes,1969,80,1
240.35,Orações e Santos Populares,,Pe. Paulo José Scopel (comp.),,,,26,,Moral e prática religiosa,Canoas,La Salle,1993,191,1
240.36,Ritual Popular,,Pe. Paulo José Scopel (comp.),,,,22,,Moral e prática religiosa,Canoas,La Salle,1999,136,1
240.37,Deus Conosco,meditação diária Aparecida,Daniel Siqueira (prep.),,,,1,,Moral e prática religiosa,Aparecida-SP,Santuário,2019,s.p.,1
240.37,Viver com Deus,todos os dias,Pe. Sebastião Braz da Silveira,,,,1,,Moral e prática religiosa,Belo Horizonte,O Lutador,1995,33,1
240.38,Novenas à N. S. do Sagrado Coração,,Missionários do Sagrado Coração de Jesus,,,,1,,Moral e prática religiosa,São Paulo,Oficinas da Ambrosiana,2006,72,1
240.39,Poemas para rezar,quanto toda a vida se torna oração,Michel Quoist,,Lucas Moreira Neves,,26,,Moral e prática religiosa,São Paulo,Duas cidades,1971,207,1
240.40,Cantiga de libertação,,Pe. Zezinho scj,,,Imagem,1,,Moral e prática religiosa,São Paulo,Paulinas,s.d,63,1
240.41,Solene Concelebração Eucarística em hontra de,São Josemaria Escrivá,Opus Dei,,,,1,,Moral e prática religiosa,São Paulo,Opus Dei,s.d,29,1
240.42,Novena dos enfermos a São Josemaria Escrivá,,Pe. Francisco Faus,,,,1,,Moral e prática religiosa,São Paulo,Opus Dei,2006,24,1
240.43,Novena à Divina Misericórdia,e outras orações seletas de Santa Faustina Kowalska,Padres Marianos,,,,21,,Moral e prática religiosa,Curitiba,Mãe da Misericórida,2011,64,1
240.44,Leitura Diária,janeiro de 1982,Associação Unidade de Cristianismo,,,,1,,Moral e prática religiosa,São Paulo,AUC,1982,16,1
240.45,Palavra e vida 2017,o evangelho comentado cada dia com Lectio Divina aos domingos,"Marcos Antônio Mendes, CMF (org.)",,,,1,,Moral e prática religiosa,São Paulo,Ave Maria,2016,s.p.,1
240.46,A virtude da humildade,,Milton Paulo de Lacerda,,,,1,,Moral e prática religiosa,Petrópolis,Vozes,1998,36,1
240.47,Hora Santa com Nossa Senhora,,Pe. João Piasentin s.s.s.,,,,1,,Moral e prática religiosa,Belo Horizonte,O Lutador,s.d,52,1
240.48,A mensagem do amor na sagrada escritura,,Pe. Ney Paranhos,,,Paraliturgia,1,,Moral e prática religiosa,Porto Alegre,Pia Sociedade Filhas,s.d,21,1
240.49,O rosário com Maria,,Afonso de Santa Cruz,,,Vida Interior,4,18,Moral e prática religiosa,Curitiba,Rosário,1982,59,1
240.50,São José,protetor da Santa Igreja,Dom Oscar de Oliveira,,,,1,,Moral e prática religiosa,Mariana,Imprimatur,1994,64,1
240.51,Uma vista ao Santíssimo Sacramento,,Comunidade Canção Nova,,,,8,,Moral e prática religiosa,São Paulo,Loyola,2001,76,1
240.52,Nossa Senhora da Defesa,,Luzia Santiago,,,,1,,Moral e prática religiosa,Cachoeira Paulista,Canção Nova,2001,47,1
240.53,Novena ao Glorioso Patriarca São José,,,,"Pe. Raimundo Nogueira, NDS",,1,,Moral e prática religiosa,Ipiranga,Tecniplasti,s.d,14,1
240.54,Devocionário a São Miguel Arcanjo,,Comunidade Canção Nova,,,,1,,Moral e prática religiosa,Cachoeira Paulista,Canção Nova,2004,102,1
240.55,Rezando o Terço com os Anjos,,Pe. Antonio Gomes da Silva Neto,,,,1,,Moral e prática religiosa,Apucarana,Arquidiocese de Apucarana,s.d,44,1
240.56,Método para rezar com fruto o Santo Rosário,,Pe. Antonio Gomes da Silva Neto,,,,1,,Moral e prática religiosa,Apucarana,Arquidiocese de Apucarana,s.d,48,1
240.57,Rezando com Nossa Senhora,"as alegrias, as eperanças, as dores e as glórias","Maria Belém, FSP",,,Vida Cristã,2,,Moral e prática religiosa,São Paulo,Paulinas,2009,91,1
240.58,Novena do Natal,,Pe. Francisco Faus,,,,1,,Moral e prática religiosa,São Paulo,Opus Dei,s.d,47,1
240.59,Novena da Família a São Josemaria Escrivá,,Pe. Francisco Faus,,,,1,,Moral e prática religiosa,São Paulo,Opus Dei,2004,47,1
240.60,Encontro diário dom Deus 2016,orações e mensagens,"Frei Edrian Josué Pasini, OFM (org.)",,,,1,,Moral e prática religiosa,Petrópolis,Vozes,2015,s.p.,1
240.61,Anúncio da Boa Nova,,Movimento de Evangelização da Diocese de Caratinga,,,,8,1,Moral e prática religiosa,Belo Horizonte,O Lutador,1984,116,1
240.62,Anúncio da Boa Nova,,Movimento de Evangelização da Diocese de Caratinga,,,,7,2,Moral e prática religiosa,Belo Horizonte,O Lutador,1982,145,1
240.63,Anúncio da Boa Nova,,Movimento de Evangelização da Diocese de Caratinga,,,,1,3,Moral e prática religiosa,Belo Horizonte,O Lutador,1976,95,1
240.64,Oremos com Maria,ofício de Nossa Senhora,Frei Paulo Gollarte; Frei Cláudio Van Balen,,,,3,,Moral e prática religiosa,Petrópolis,Vozes,1977,367,1
240.65,Maria na vida do casal,meditações diárias para casais,"Frei Luís Gonzaga Costa, O.F.M.",,,,3,,Moral e prática religiosa,Petrópolis,Vozes,1979,103,1
240.66,Cura através do Rosário,,Ann Ross Fitch,,Raissa Castro Oliveira,,2,,Moral e prática religiosa,Campinas,Raboni,1992,89,1
240.67,Mensagens e orações inesquecíveis,,Padre Juca,,,Vida Feliz,4,2,Moral e prática religiosa,Curitiba,Gráfica Vicentina,1984,106,1
240.68,Gotas de Esperança e otimismo,,Padre Jucca,,,Vida Feliz,3,3,Moral e prática religiosa,Curitiba,Gráfica Vicentina,1984,116,
240.69,Uma palavra amiga,,Padre Juca,,,Vida Feliz,2,4,Moral e prática religiosa,Curitiba,Gráfica Vicentina,1984,100,1
240.70,Hora Santa Eucarística,"Eucaristia: alimento, reconciliação, presença",Maria Helena Zandonadi (org.),,,,4,,Moral e prática religiosa,São Paulo,Paulus,1999,23,1
240.71,Todos os Santos,Jesus Cristo o centro e a base de todos,Pe. Jair Aparecido Favoretto,,,,1,3,Moral e prática religiosa,Maringá,Profeapaz,s.d,74,1
250.1,Subsídios para a Formação de Assitentes Espirituais,,Ordem Franciscana Secular,,,,1,, Igreja Cristã e Ordem Religiosa,Rio de Janeiro,Jmesuquita Stúdio Gráfico,2005,56,1
250.2,Identidade dos irmãos e irmãs da TOR,comentário à regra,Martino Cornti,,Almir Ribeiro Guimarães,,1,, Igreja Cristã e Ordem Religiosa,Petrópolis,Vozes,1992,208,1
250.3,"Francisco, o irmão sempre alegre",,Frei Jorge E. Hartamnn,,,,1,, Igreja Cristã e Ordem Religiosa,Petrópolis,Vozes,2008,150,1
250.4,São Francisco,o poeta da criação,Pe. José Artulino Besen,,,,5,, Igreja Cristã e Ordem Religiosa,Florianópolis,Mundo e Missão,2008,42,1
250.5,Franciscanos na Educação e Comunicação,,Publicação DEC,,,,1,, Igreja Cristã e Ordem Religiosa,Bragança Paulista,Departamento Gráfico da Universidade São Francisco,s/d,98,1
250.6,O Franciscanismo e os excluídos,,Celso Márcio Teixeira,,,Cadernos Franciscanos,,9, Igreja Cristã e Ordem Religiosa,Petrópolis,Vozes,1995,57,1
250.7,O Franciscano e a política,,Frei Nedio Pertile,,,Cadernos Franciscanos,,10, Igreja Cristã e Ordem Religiosa,Petrópolis,Vozes,1996,72,1
250.8,O Franciscano e Deus Pai,,Frei Nedio Pertile,,,Cadernos Franciscanos,,14, Igreja Cristã e Ordem Religiosa,Petrópolis,Vozes,1999,93,1
250.9,Introdução e visão de conjunto,,Anton Rotzetter - Maria Doka - Margarethe Mehren - Patrícia Hoffmann-Kayser - Othmar Noggler - Horst von der Bey - Andreas Muller,,Malina Hoepfner,Curso Básico sobre o Carisma Missionário Franciscano,2,0, Igreja Cristã e Ordem Religiosa,Petrópolis,Vozes,2004,48,1
250.10,"Cristianismo, a Religião da Encarnação",,Anton Rotzetter - Maria Doka - Margarethe Mehren - Patrícia Hoffmann-Kayser - Othmar Noggler - Horst von der Bey - Andreas Muller,,Malina Hoepfner,Curso Básico sobre o Carisma Missionário Franciscano,2,1, Igreja Cristã e Ordem Religiosa,Petrópolis,Vozes,2004,36,1
250.11,A Família Franciscana,,Anton Rotzetter - Maria Doka - Margarethe Mehren - Patrícia Hoffmann-Kayser - Othmar Noggler - Horst von der Bey - Andreas Muller,,Malina Hoepfner,Curso Básico sobre o Carisma Missionário Franciscano,2,2, Igreja Cristã e Ordem Religiosa,Petrópolis,Vozes,2003,40,1
250.12,Cooperação Interfranciscana Hoje,,Anton Rotzetter - Maria Doka - Margarethe Mehren - Patrícia Hoffmann-Kayser - Othmar Noggler - Horst von der Bey - Andreas Muller,,Malina Hoepfner,Curso Básico sobre o Carisma Missionário Franciscano,2,3, Igreja Cristã e Ordem Religiosa,Petrópolis,Vozes,2004,32,1
250.13,Formação inicial e permanente,,Anton Rotzetter - Maria Doka - Margarethe Mehren - Patrícia Hoffmann-Kayser - Othmar Noggler - Horst von der Bey - Andreas Muller,,Malina Hoepfner,Curso Básico sobre o Carisma Missionário Franciscano,2,4, Igreja Cristã e Ordem Religiosa,Petrópolis,Vozes,2004,32,1
250.14,Fundamento bíblico-profético da Missão Franciscana,,Anton Rotzetter - Maria Doka - Margarethe Mehren - Patrícia Hoffmann-Kayser - Othmar Noggler - Horst von der Bey - Andreas Muller,,Malina Hoepfner,Curso Básico sobre o Carisma Missionário Franciscano,2,5, Igreja Cristã e Ordem Religiosa,Petrópolis,Vozes,2005,32,1
250.15,A origem da misssão franciscana no mistério trinitário,,Maria Crucis Doka -  Patrícia Hoffmann - Margarethe Mehren -  Andreas Muller- Othmar Noggler - Anton Rotzetter,,Malina Hoepfner,Curso Básico sobre o Carisma Missionário Franciscano,1,6, Igreja Cristã e Ordem Religiosa,Petrópolis,Vozes,1994,32,1
250.16,A missão franciscana nas primeiras fontes,,Maria Crucis Doka -  Patrícia Hoffmann - Margarethe Mehren -  Andreas Muller- Othmar Noggler - Anton Rotzetter,,Malina Hoepfner,Curso Básico sobre o Carisma Missionário Franciscano,1,7, Igreja Cristã e Ordem Religiosa,Petrópolis,Vozes,1994,31,1
250.17,Fidelidade e traição,a história da missão franciscana,Maria Crucis Doka -  Patrícia Hoffmann - Margarethe Mehren -  Andreas Muller- Othmar Noggler - Anton Rotzetter,,Malina Hoepfner,Curso Básico sobre o Carisma Missionário Franciscano,1,8, Igreja Cristã e Ordem Religiosa,Petrópolis,Vozes,1994,36,1
250.18,A missão franciscana segundo as fontes modernas,,Anton Rotzetter - MariaCrucis Doka - Margarethe Mehren - Patrícia Hoffmann-Kayser - Othmar Noggler - Horst von der Bey - Andreas Muller,,Malina Hoepfner,Curso Básico sobre o Carisma Missionário Franciscano,1,9, Igreja Cristã e Ordem Religiosa,Petrópolis,Vozes,1994,29,1
250.19,Unidade de contemplação e missão,,Anton Rotzetter - MariaCrucis Doka - Margarethe Mehren - Patrícia Hoffmann-Kayser - Othmar Noggler - Horst von der Bey - Andreas Muller,,Malina Hoepfner,Curso Básico sobre o Carisma Missionário Franciscano,1,10, Igreja Cristã e Ordem Religiosa,Petrópolis,Vozes,1994,39,1
250.20,Decisão por Cristo e amplitude universal,,Anton Rotzetter - MariaCrucis Doka - Margarethe Mehren - Patrícia Hoffmann-Kayser - Othmar Noggler - Horst von der Bey - Andreas Muller,,Malina Hoepfner,Curso Básico sobre o Carisma Missionário Franciscano,1,11, Igreja Cristã e Ordem Religiosa,Petrópolis,Vozes,1994,30,1
250.21,Fraternidade universal,"reconciliação com Deus, com o homem e a natureza",Anton Rotzetter - MariaCrucis Doka - Margarethe Mehren - Patrícia Hoffmann-Kayser - Othmar Noggler - Horst von der Bey - Andreas Muller,,Malina Hoepfner,Curso Básico sobre o Carisma Missionário Franciscano,1,12, Igreja Cristã e Ordem Religiosa,Petrópolis,Vozes,1994,38,1
250.22,A misssão franciscana e o anúncio da Palavra,,Anton Rotzetter - MariaCrucis Doka - Margarethe Mehren - Patrícia Hoffmann-Kayser - Othmar Noggler - Horst von der Bey - Andreas Muller,,Malina Hoepfner,Curso Básico sobre o Carisma Missionário Franciscano,1,13, Igreja Cristã e Ordem Religiosa,Petrópolis,Vozes,1994,29,1
250.23,Irmãs e irmãos num mundo secularizado,,Anton Rotzetter - MariaCrucis Doka - Margarethe Mehren - Patrícia Hoffmann-Kayser - Othmar Noggler - Horst von der Bey - Andreas Muller,,Malina Hoepfner,Curso Básico sobre o Carisma Missionário Franciscano,1,14, Igreja Cristã e Ordem Religiosa,Petrópolis,Vozes,1994,38,1
250.24,O diálogo com outras religiões,um caminho franciscano,Anton Rotzetter - MariaCrucis Doka - Margarethe Mehren - Patrícia Hoffmann-Kayser - Othmar Noggler - Horst von der Bey - Andreas Muller,,Malina Hoepfner,Curso Básico sobre o Carisma Missionário Franciscano,1,15, Igreja Cristã e Ordem Religiosa,Petrópolis,Vozes,1994,40,1
250.25,Encontro com os mulçumanos,,Anton Rotzetter - MariaCrucis Doka - Margarethe Mehren - Patrícia Hoffmann-Kayser - Othmar Noggler - Horst von der Bey - Andreas Muller,,Malina Hoepfner,Curso Básico sobre o Carisma Missionário Franciscano,1,16, Igreja Cristã e Ordem Religiosa,Petrópolis,Vozes,1994,47,1
250.26,"Inculturação, tarefa franciscana",,Anton Rotzetter - MariaCrucis Doka - Margarethe Mehren - Patrícia Hoffmann-Kayser - Othmar Noggler - Horst von der Bey - Andreas Muller,,Malina Hoepfner,Curso Básico sobre o Carisma Missionário Franciscano,1,17, Igreja Cristã e Ordem Religiosa,Petrópolis,Vozes,1994,52,1
250.27,O sonho franciscano de uma Igreja ameríndia,,Anton Rotzetter - MariaCrucis Doka - Margarethe Mehren - Patrícia Hoffmann-Kayser - Othmar Noggler - Horst von der Bey - Andreas Muller,,Malina Hoepfner,Curso Básico sobre o Carisma Missionário Franciscano,1,18, Igreja Cristã e Ordem Religiosa,Petrópolis,Vozes,1994,41,1
250.28,Francisco de Assis e a opção pelos pobres,,Anton Rotzetter - MariaCrucis Doka - Margarethe Mehren - Patrícia Hoffmann-Kayser - Othmar Noggler - Horst von der Bey - Andreas Muller,,Malina Hoepfner,Curso Básico sobre o Carisma Missionário Franciscano,1,19, Igreja Cristã e Ordem Religiosa,Petrópolis,Vozes,1994,48,1
250.29,Teologia da Libertação na visão franciscana,,Anton Rotzetter - MariaCrucis Doka - Margarethe Mehren - Patrícia Hoffmann-Kayser - Othmar Noggler - Horst von der Bey - Andreas Muller,,Malina Hoepfner,Curso Básico sobre o Carisma Missionário Franciscano,1,20, Igreja Cristã e Ordem Religiosa,Petrópolis,Vozes,1994,48,1
